season,pairName,xT,xT_Team,xT_Prop,xT_Prop_Rank,numActions,numActions_Team,otherName,xT_Pc,seasonRank
2017/18,Christian Eriksen-Harry Kane,2.4956656693539006,33.20589591906915,0.075157305661514,4,197,18867,Christian Eriksen,7.52,1
2017/18,Ben Davies-Harry Kane,1.714506746523616,33.20589591906915,0.051632600147343895,20,124,18867,Ben Davies,5.16,2
2017/18,Harry Kane-Kieran Trippier,1.594288021364181,33.20589591906915,0.048012197148658446,25,101,18867,Kieran Trippier,4.8,3
2017/18,Dele Alli-Harry Kane,1.2529558315488645,33.20589591906915,0.03773293256723513,56,148,18867,Dele Alli,3.77,4
2017/18,Harry Kane-Jan Vertonghen,0.5004564266685405,33.20589591906915,0.01507131227202165,380,92,18867,Jan Vertonghen,1.51,5
2018/19,Harry Kane-Kieran Trippier,1.4184334270824221,28.39146316555891,0.04995985655304634,28,135,18445,Kieran Trippier,5.0,1
2018/19,Christian Eriksen-Harry Kane,1.2488480833602003,28.39146316555891,0.04398674615949881,45,120,18445,Christian Eriksen,4.4,2
2018/19,Danny Rose-Harry Kane,0.6486245673314438,28.39146316555891,0.022845760486140662,187,73,18445,Danny Rose,2.28,3
2018/19,Dele Alli-Harry Kane,0.582108510906212,28.39146316555891,0.020502941588877166,232,83,18445,Dele Alli,2.05,4
2018/19,Harry Kane-Son Heung-Min,0.34704364137986377,28.39146316555891,0.012223520829347575,480,83,18445,Son Heung-Min,1.22,5
2019/20,Harry Kane-Son Heung-Min,1.0549633746691272,19.639251567181816,0.053717086471463324,17,98,15765,Son Heung-Min,5.37,1
2019/20,Harry Kane-Serge Aurier,0.677496591198899,19.639251567181816,0.03449706771570818,66,103,15765,Serge Aurier,3.45,2
2019/20,Harry Kane-Lucas Moura,0.4987745441629237,19.639251567181816,0.02539682036541562,139,64,15765,Lucas Moura,2.54,3
2019/20,Christian Eriksen-Harry Kane,0.488594226666901,19.639251567181816,0.024878454507063125,146,60,15765,Christian Eriksen,2.49,4
2019/20,Dele Alli-Harry Kane,0.44744826432521895,19.639251567181816,0.02278336640246147,185,70,15765,Dele Alli,2.28,5
2020/21,Harry Kane-Son Heung-Min,1.950966017221319,20.490115746846527,0.09521498274218275,2,182,16197,Son Heung-Min,9.52,1
2020/21,Harry Kane-Sergio Reguilón,0.8251545753839041,20.490115746846527,0.04027085964660288,48,171,16197,Sergio Reguilón,4.03,2
2020/21,Harry Kane-Lucas Moura,0.6561217507766988,20.490115746846527,0.03202137844817579,94,88,16197,Lucas Moura,3.2,3
2020/21,Gareth Bale-Harry Kane,0.564255526390798,20.490115746846527,0.027537937479813316,135,48,16197,Gareth Bale,2.75,4
2020/21,Harry Kane-Tanguy Ndombele,0.5434889314076201,20.490115746846527,0.026524444181886295,151,153,16197,Tanguy Ndombele,2.65,5
