playerIdOpta,playerNameOpta,playerNameWy,playerIdWy,Ratio,value
1632,Gareth Barry,Gareth Barry,8314,Dribble,1.375
2404,Michael Carrick,Michael Carrick,7928,Dribble,
2513,Jamie Murphy,Jamie Murphy,62091,Dribble,1.0
3773,Peter Crouch,Peter Crouch,8747,Dribble,2.0
5589,Dean Whitehead,Dean Whitehead,8745,Dribble,
6744,Lee Grant,Lee Grant,8935,Dribble,
7645,Phil Jagielka,Phil Jagielka,8245,Dribble,0.5
7906,Damien Delaney,Damien Delaney,8583,Dribble,
7958,Jermain Defoe,Jermain Defoe,8296,Dribble,1.5555555555555556
8380,James Collins,James Michael Collins,8005,Dribble,1.0
9047,Glen Johnson,Glen Johnson,7957,Dribble,1.25
9089,Ben Foster,Ben Foster,8358,Dribble,
9808,Zlatan Ibrahimovic,Zlatan Ibrahimović,20420,Dribble,
11334,Petr Cech,Petr Čech,7882,Dribble,1.5
11352,Bruno,Bruno Saltor Grau,3278,Dribble,1.15
11554,Julian Speroni,Julián Speroni,8391,Dribble,
11829,Wayne Routledge,Wayne Routledge,77557,Dribble,1.875
11974,Eldin Jakupovic,Eldin Jakupovic,93084,Dribble,
12745,Leighton Baines,Leighton Baines,8239,Dribble,1.1428571428571428
12813,Jonathan Walters,Jonathan Walters,8752,Dribble,
13017,Wayne Rooney,Wayne Rooney,7944,Dribble,1.25
13152,Andy King,Andy King,8498,Dribble,0.8571428571428571
14075,Patrice Evra,Patrice Evra,7915,Dribble,1.5
14295,Darren Fletcher,Darren Fletcher,7932,Dribble,1.9166666666666667
15033,Wes Morgan,Wes Morgan,8488,Dribble,2.1666666666666665
15137,Liam Rosenior,Liam Rosenior,9622,Dribble,1.0
15149,Simon Francis,Simon Francis,9279,Dribble,1.5
15157,James Milner,James Milner,8319,Dribble,1.0
15237,Andrew Surman,Andrew Surman,8351,Dribble,1.5833333333333333
15749,Joe Hart,Joe Hart,8301,Dribble,
17127,Per Mertesacker,Per Mertesacker,7856,Dribble,
17339,Steven Davis,Steven Davis,61988,Dribble,1.25
17349,Aaron Lennon,Aaron Lennon,8284,Dribble,1.4
17476,Vincent Kompany,Vincent Kompany,8307,Dribble,0.75
17745,Kasper Schmeichel,Kasper Schmeichel,8480,Dribble,2.0
17761,James Tarkowski,James Tarkowski,9433,Dribble,2.1666666666666665
17997,Phil Bardsley,Phil Bardsley,8516,Dribble,0.75
18006,Martin Cranie,Martin Cranie,8761,Dribble,1.0
18008,James Morrison,James Morrison,8374,Dribble,2.0
18073,Mark Noble,Mark Noble,8561,Dribble,1.35
18656,Heurelho Gomes,Heurelho da Silva Gomes,8266,Dribble,
18892,Ashley Young,Ashley Young,7939,Dribble,1.372093023255814
19151,Chris Brunt,Chris Brunt,8370,Dribble,2.5
19159,Ashley Williams,Ashley Williams,77546,Dribble,0.5
19188,Scott Dann,Scott Dann,8186,Dribble,1.1666666666666667
19197,Jason Puncheon,Jason Puncheon,8142,Dribble,3.0
19272,Gareth McAuley,Gareth McAuley,8362,Dribble,1.0
19419,Gary Cahill,Gary Cahill,7887,Dribble,3.0
19568,Ibrahim Afellay,Ibrahim Afellay,3343,Dribble,1.0
19760,Fernando Llorente,Fernando Llorente Torres,3424,Dribble,1.0
19838,Robert Elliot,Rob Elliot,7974,Dribble,
20037,Marc Pugh,Marc Pugh,9293,Dribble,1.5833333333333333
20046,Stefano Okaka,Stefano Okaka Chuka,20505,Dribble,1.5
20066,Wayne Hennessey,Wayne Hennessey,8425,Dribble,
20145,Adrian Mariappa,Adrian Mariappa,8889,Dribble,1.1666666666666667
20452,Shane Long,Shane Long,8384,Dribble,1.0
20467,Theo Walcott,Theo Walcott,7879,Dribble,1.5151515151515151
20481,Stephen Ireland,Stephen Ireland,8017,Dribble,
20529,Glenn Murray,Glenn Murray,8416,Dribble,2.4
20658,Pablo Zabaleta,Pablo Javier Zabaleta Girod,8313,Dribble,1.0555555555555556
20664,David Silva,David Josué Jiménez Silva,8317,Dribble,2.1739130434782608
20695,Luis Antonio Valencia,Luis Antonio Valencia Mosquera,7938,Dribble,1.4736842105263157
21205,Tom Heaton,Tom Heaton,77502,Dribble,
26901,Kevin Mirallas,Kevin Mirallas,92922,Dribble,3.0
27341,Yohan Cabaye,Yohan Cabaye,7988,Dribble,1.588235294117647
27462,Jesús Gámez,Jesús Gámez Duarte,3557,Dribble,1.0
27789,Fernandinho,Fernando Luiz Rosa,105339,Dribble,1.3043478260869565
28147,Mohamed Diamé,Mohamed Diamé,8620,Dribble,1.2777777777777777
28654,Martin Olsson,Martin Olsson,8192,Dribble,0.9444444444444444
33148,Claudio Bravo,Claudio Andrés Bravo Muñoz,3662,Dribble,
33871,Ragnar Klavan,Ragnar Klavan,74,Dribble,1.6666666666666667
37096,Lukasz Fabianski,Łukasz Fabiański,7847,Dribble,
37265,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,3361,Dribble,1.6363636363636365
37402,Christian Fuchs,Christian Fuchs,14853,Dribble,2.25
37572,Sergio Agüero,Sergio Leonel Agüero del Castillo,8325,Dribble,1.6851851851851851
37605,Mesut Özil,Mesut Özil,3319,Dribble,1.2682926829268293
37642,Jonny Evans,Jonny Evans,7914,Dribble,1.2222222222222223
37742,Younes Kaboul,Younes Kaboul,8272,Dribble,1.0
37869,Ryan Shawcross,Ryan Shawcross,8731,Dribble,1.0
37915,Hugo Lloris,Hugo Lloris,25381,Dribble,
38038,Ben Hamer,Ben Hamer,8066,Dribble,
38290,Danny Rose,Danny Rose,8292,Dribble,1.0294117647058822
38411,Nacho Monreal,Ignacio Monreal Eraso,3560,Dribble,1.5714285714285714
38439,Etienne Capoue,Etienne Capoue,25798,Dribble,1.3529411764705883
38454,Dejan Lovren,Dejan Lovren,25393,Dribble,
38490,Beram Kayal,Beram Kayal,61961,Dribble,1.0
38499,Tomer Hemed,Tomer Hemed,3657,Dribble,1.8
39104,Mousa Dembélé,Moussa Sidi Yaya Dembélé,11152,Dribble,2.097560975609756
39155,Adam Lallana,Adam Lallana,8140,Dribble,1.0
39194,Jan Vertonghen,Jan Vertonghen,48,Dribble,2.0526315789473686
39215,Michel Vorm,Michel Vorm,77536,Dribble,
39487,Erik Pieters,Erik Pieters,107,Dribble,0.875
39847,Steven Defour,Steven Defour,70092,Dribble,1.3846153846153846
40002,Matteo Darmian,Matteo Darmian,21095,Dribble,2.0
40142,Andy Carroll,Andy Carroll,7970,Dribble,3.0
40145,Jack Cork,Jack Cork,8125,Dribble,1.0238095238095237
40146,Ryan Bertrand,Ryan Bertrand,7885,Dribble,1.0681818181818181
40349,Asmir Begovic,Asmir Begović,8726,Dribble,
40383,Fraser Forster,Fraser Forster,61941,Dribble,
40387,Dan Gosling,Dan Gosling,7989,Dribble,1.08
40399,Sam Vokes,Sam Vokes,9127,Dribble,0.5
40555,Joe Allen,Joe Allen,77548,Dribble,1.6944444444444444
40616,Stephen Ward,Stephen Ward,8433,Dribble,1.1
40669,Angelo Ogbonna,Angelo Obinze Ogbonna,21100,Dribble,1.8333333333333333
40725,Danny Simpson,Danny Simpson,149019,Dribble,1.8
40755,Daniel Sturridge,Daniel Sturridge,7907,Dribble,2.0
40784,Mamadou Sakho,Mamadou Sakho,25430,Dribble,3.0
40833,Jérémy Pied,Jérémy Pied,25415,Dribble,0.6666666666666666
40845,Dale Stephens,Dale Stephens,8086,Dribble,1.6
40868,José Holebas,José Holebas,92899,Dribble,1.1555555555555554
41184,Marouane Fellaini,Marouane Fellaini-Bakkioui,8249,Dribble,1.1666666666666667
41270,David Luiz,David Luiz Moreira Marinho,7892,Dribble,2.3333333333333335
41320,Charlie Daniels,Charlie Daniels,9285,Dribble,1.2857142857142858
41321,Yohan Benalouane,Yohan Benalouane,21333,Dribble,
41328,César Azpilicueta,César Azpilicueta Tanco,25553,Dribble,1.6666666666666667
41338,Craig Cathcart,Craig Cathcart,9403,Dribble,2.0
41464,Marko Arnautovic,Marko Arnautović,14703,Dribble,1.2638888888888888
41674,Kevin Long,Kevin Long,10108,Dribble,
41725,Troy Deeney,Troy Deeney,8903,Dribble,1.125
